number,bank_name,assets,loans,liabilities,deposits,equity,net_income,year,ROA,ROE,LDR,EAR,LDR_score,ROA_norm,ROE_norm,EAR_norm,health_score,category
10.0,"""Bank RBK"" Bank"", JSC",2043613069.0,1125793686.0,1879177272.0,482754120.0,164435797.0,48315017.0,2024,0.0236419592989009,0.2938229867308029,2.3320229478310823,0.0804632733536311,0.9858895683809703,0.28863075350538847,0.03277237063527064,0.09921845748242665,0.2752572973287402,Weak
12.0,"""Altyn Bank"", JSC (SB of China Citic Bank Corporation Limited)",888696926.0,426162570.0,770722010.0,328044978.0,117974917.0,34003710.0,2024,0.0382624368389004,0.288228301953372,1.299097985276885,0.1327504501799075,0.9968315848645768,0.3099523801576895,0.03262912268477405,0.16951535565563586,0.2948555670728941,Weak
13.0," ""Home Credit Bank"", Joint Stock Company",802996035.0,614100186.0,646182934.0,324197465.0,156813101.0,26603739.0,2024,0.0331305982102389,0.169652527947904,1.8942164954929552,0.1952850252865819,0.9905273548531524,0.30246841480971626,0.029593073777541626,0.25358925150173234,0.302839011958773,Weak
14.0,"""Shinhan Bank Kazakhstan"", JSC",475116057.0,48034140.0,429546823.0,8475703.0,45569234.0,25264089.0,2024,0.0531745636203577,0.5544110967500573,5.6672750331152475,0.09591179529426,0.9505584604910808,0.3316993305535398,0.03944454505957789,0.11998804650413163,0.29048233251387306,Weak
15.0,"""Nurbank"", JSC",465708253.0,288306279.0,410244149.0,172743485.0,55464104.0,7053331.0,2024,0.0151453854522951,0.1271692949371362,1.6689849634560747,0.1190962445752491,0.9929132853181122,0.27623986032933423,0.028505320615145283,0.15115811475475838,0.2782715233414984,Weak
16.0,"Subsidiary Bank ""Bank of China in Kazakhstan"", JSC",416647689.0,46431391.0,314668310.0,3902343.0,101979379.0,22406134.0,2024,0.0537771709565392,0.2197123989154709,11.898336717197848,0.2447616576123622,0.8845513620770726,0.332578136912966,0.030874821401135205,0.3201075451957003,0.30790737150085135,Weak
17.0,"""Industrial and Commercial Bank of China in Almaty"", JSC",349496322.0,12646544.0,283654686.0,9122176.0,65841635.0,16678700.0,2024,0.0477221044975689,0.2533153983797638,1.3863516774944926,0.1883900655183432,0.9959072860305747,0.32374779152651567,0.0317352024583872,0.24431940152787276,0.3104530510284831,Weak
18.0,"SB ""KAZAKHSTAN-ZIRAAT INTERNATIONAL BANK"", JSC",233011213.0,108206426.0,159155214.0,27186683.0,73855998.0,15112460.0,2024,0.0648572221286191,0.2046206186259916,3.9801260786393104,0.316963278501108,0.9684308252217441,0.34873661831230107,0.030488407030743216,0.41717819042139836,0.3405701112165368,Weak
19.0,"Subsidiary JSC ""Bank VTB (Kazakhstan)"" ",227312981.0,89092790.0,160340672.0,42374219.0,66972309.0,22047401.0,2024,0.0969913856349453,0.3292017451570917,2.102523470698068,0.2946259765076944,0.9883207101897217,0.395599153081867,0.03367821874598523,0.38714705967375185,0.3565672456192693,Moderate
20.0,"""Al-Hilal"" Islamic Bank"", JSC",177999121.0,130500889.0,152654501.0,2356585.0,25344620.0,4336825.0,2024,0.0243643057091276,0.1711142246362344,55.37711943341743,0.1423862087498735,0.4239704153337528,0.28968418014144376,0.029630499488404842,0.18247004129997774,0.2027262063655066,Weak
