number,bank_name,assets,year
5.0,"""ForteBank"", JSC",5171612588.0,2026
6.0,"""Alatau City Bank"", JSC ",3351695235.0,2026
7.0,"""Eurasian Bank"", JSC",3026705170.0,2026
8.0,"""Bereke Bank"" JSC (SB of Lesha Bank LLC (Public))",2798005998.0,2026
9.0,"""Bank RBK"" Bank"", JSC",2727035219.0,2026
10.0,"""Freedom Bank Kazakhstan"", JSC",2589541185.0,2026
11.0,"""Altyn Bank"", JSC (SB of China Citic Bank Corporation Limited)",1332565667.0,2026
12.0," ""Home Credit Bank"", Joint Stock Company",1265943242.0,2026
13.0,"""Citibank Kazakhstan"", JSC ",1190217157.0,2026
14.0,"""Shinhan Bank Kazakhstan"", JSC",730977941.0,2026
15.0,"""Industrial and Commercial Bank of China in Almaty"", JSC",616891721.0,2026
16.0,"Subsidiary Bank ""Bank of China in Kazakhstan"", JSC",579961425.0,2026
17.0,"""Nurbank"", JSC",564331948.0,2026
18.0,"""KMF Bank"", JSC",404560975.0,2026
19.0,"SB ""KAZAKHSTAN-ZIRAAT INTERNATIONAL BANK"", JSC",307038224.0,2026
20.0,"Subsidiary JSC ""Bank VTB (Kazakhstan)"" ",266974504.0,2026
21.0,"""ADCB"" Islamic Bank"", JSC",256180252.0,2026
22.0,"""Islamic bank ""Zaman-Bank"", JSC",44956899.0,2026
23.0,"""BNK Commercial Bank"" JSC",23340202.0,2026
,Total:,70773782800.0,2026
1.0,"The information has been prepared on the basis of unconsolidated statements submitted by second-tier banks in accordance with the RB of the NBRK dated 12/02/2025. No. 88 ""On Approval of the reporting Rules for second-tier banks, branches of non-resident banks of the Republic of Kazakhstan, Joint-Stock Company ""Development Bank of Kazakhstan"" and the RB of the NBRK dated 12/24/2025. No. 103 "" On Approval of the Rules for reporting loans and contingent liabilities by second-tier banks, branches of non-resident banks of the Republic of Kazakhstan, Joint-Stock Company ""Development Bank of Kazakhstan"" and organizations engaged in certain types of banking operations"".",,2026
2.0,"Loans include accounts for the group of accounts 1300 ""Loans granted to other banks"", 1400 ""Customer requirements"", 1460 ""Repo transactions with securities"", excluding adjustment accounts (accounts 1310, 1311, 1430, 1431), discount and premium accounts (accounts 1312, 1313, 1432, 1433, 1434, 1435) and accounts of provisions (accounts 1319, 1428, 1463)",,2026
3.0,"Loans for which there is overdue debt on the main debt and (or) accrued remuneration. Starting from the data as of January 1, 2023, the available overdue debt is presented in three ranges: over 7 days, over 30 days and over 90 days",,2026
4.0,"Stage 3 includes loans for which events have been identified that serve as objective evidence of impairment:                                                                                                                       - Significant financial difficulties of the borrower, including expected financial difficulties;                                                                                                                                                             - Breach of contract tems; - Forced loan restructuring;                                                                                                                                                                                                                                              - Misuse of loan funds for purpose other than intended;                                                                                                                                                                                                                                         - Other events determined by the bank's (provision reserve) cdlculation methodology.                                                                                                                                                                ACCI - a purchased or originatd financial aset with evidence of impairment at the time of initial recognition.",,2026
5.0,"The amount of overdue loans (including overdue remuneration) reflected in the corresponding balance sheet accounts (1306,1309,1409,1421,1423,1424,1427,1462,1731,1741)",,2026
6.0,"Provisions for the loan portfolio have been formed in accordance with the requirements of the International financial Reporting Standards, the Rules for the formation of provisions under IFRS, and the requirements of the legislation of the Republic of Kazakhstan on accouning and financial reporting, as approved by Resolution N269 of the Board of the National Bank of the Republic of Kazakhstan dated 22.12.2017, for the purpose of covering expected and incurred credit losses on financial assets.",,2026
, ,,2026
